episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1860300,1920300,1980300,2040300,2100300,2160300,2220300,2280300,2340300,2400300,2460300,2520300,2580300,2640300,2700300,2760300,2820300,2880300,2940300,3000300,3060300,3120300,3180300,3240300,3300300,3360300,3420300,3480300,3540300,3600300,3660300,3720300,3780300,3840300,3900300,3960300,4020300,4080300,4140300,4200300,4260300,4320300,4380300,4440300
eval_rew,0.0,0.0,0.0,0.07,0.0,0.01,0.09,0.05,0.19,0.06999999999999999,0.030000000000000006,0.0,0.09,0.0,0.06999999999999999,0.21000000000000002,0.24,0.16,0.15,0.11000000000000001,0.5,0.4,0.4,0.5,0.5,0.3,0.3,0.2,0.2,0.3,0.2,0.5,0.5,0.4,0.5,0.3,0.2,0.4,0.4,0.4,0.1,0.5,0.4,0.3,0.2,0.5,0.3,0.4,0.4,0.5,0.1,0.3,0.0,0.2,0.5,0.4,0.2,0.0,0.2,0.5,0.4,0.3,0.5,0.4,0.5,0.0,0.0,0.0,0.4,0.4,0.1,0.0,0.0,0.3,0.0
train_rew,0.0,0.03,0.053000000000000005,0.0415,0.0195,0.038500000000000006,0.0545,0.0305,0.0355,0.04650000000000001,0.03900000000000001,0.038000000000000006,0.043500000000000004,0.048499999999999995,0.024499999999999997,0.0645,0.061000000000000006,0.04800000000000001,0.054000000000000006,0.083,0.08,0.17800000000000002,0.3065,0.37900000000000006,0.446,0.4465,0.49,0.5245,0.5005,0.4975,0.502,0.5095000000000001,0.505,0.4975,0.5075,0.499,0.49950000000000006,0.5,0.49950000000000006,0.5015,0.499,0.49700000000000005,0.502,0.5025,0.49950000000000006,0.499,0.502,0.49900000000000005,0.49650000000000005,0.49400000000000005,0.5035,0.49849999999999994,0.5,0.495,0.49700000000000005,0.493,0.49700000000000005,0.4905,0.504,0.501,0.49450000000000005,0.4855,0.48650000000000004,0.4955,0.48100000000000004,0.475,0.48400000000000004,0.485,0.48400000000000004,0.4855,0.4615000000000001,0.4865,0.4755,0.4685,0.469
