episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200036,1260036,1319871,1379871,1439871,1499086,1556904,1613007,1665651,1718085,1765997,1812824,1855212,1895484,1927514,1960028,1988573,2011816,2033542,2052412,2070190,2085841,2100595,2113468,2125590,2134068,2142754,2150112,2157528,2164650,2171339,2178065,2183595,2188752,2193278,2198168,2202843,2207442,2211614,2215654,2219502,2223421,2227130,2230513,2233694,2236789,2239905,2242755,2245539,2248201,2250838,2253534,2256142,2258732,2261229
eval_rew,0.0,0.0,0.01,0.01,0.02,0.07,0.1,0.1,0.1,0.1,0.11000000000000001,0.1,0.1,0.1,0.1,0.1,0.1,0.56,0.41000000000000003,0.0,0.1,0.1,0.1,1.6,1.3800000000000001,1.6,1.6,1.6,1.6,1.5,1.6,1.5,1.6,1.6,1.6,1.5,1.6,1.5,1.6,1.6,1.5,1.6,1.5,1.5,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.5,1.6,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.5,1.5,1.6,1.5,1.6,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6
train_rew,0.0,0.002,0.002,0.0015000000000000002,0.001,0.0005,0.002,0.003,0.006500000000000001,0.011000000000000001,0.0165,0.02,0.030500000000000003,0.03900000000000001,0.05600000000000001,0.059000000000000004,0.0785,0.08399999999999999,0.086,0.12050000000000001,0.13,0.15500000000000003,0.171,0.20650000000000004,0.21500000000000002,0.2645,0.34149999999999997,0.41450000000000004,0.5059999999999999,0.5690000000000001,0.7090000000000001,0.7380000000000001,0.8575,0.9265000000000001,1.1495,1.0895,1.212,1.3115,1.3610000000000002,1.4095,1.4084999999999999,1.4245,1.452,1.4875,1.4805000000000001,1.5325,1.534,1.5325,1.5575,1.564,1.5765,1.5425,1.5695,1.5830000000000002,1.551,1.5714999999999997,1.5755000000000001,1.5815000000000001,1.59,1.5895000000000001,1.5785,1.5915000000000001,1.5689999999999997,1.5289999999999997,1.537,1.5475,1.5365,1.545,1.5205000000000002,1.5125,1.5335000000000003,1.5959999999999999,1.597,1.5985,1.5989999999999998
