episode,1,201,401,601,801,1001,1201,1401,1601,1801,2001,2201,2401,2601,2801,3001,3201,3401,3601,3801,4001,4201,4401,4601,4801,5001,5201,5401,5601,5801,6001,6201,6401,6601,6801,7001,7201,7401,7601,7801,8001,8201,8401,8601,8801,9001,9201,9401,9601,9801,10001,10201,10401,10601,10801,11001,11201,11401,11601,11801,12001,12201,12401,12601,12801,13001,13201,13401,13601,13801,14001,14201,14401,14601,14801
step,300,60300,120300,180300,240300,300300,360300,420300,480300,540300,600300,660300,720300,780300,840300,900300,960300,1020300,1080300,1140300,1200300,1260300,1320300,1380300,1440300,1500300,1560300,1620300,1680300,1740300,1800300,1860300,1920300,1980300,2040300,2100300,2160300,2220300,2280300,2340300,2400300,2460300,2520300,2580300,2640300,2700300,2760300,2820300,2880300,2940300,3000300,3060300,3120300,3180300,3240300,3300300,3360300,3420300,3480300,3540300,3600300,3660300,3720300,3780300,3840300,3900300,3960300,4020300,4080300,4140300,4200300,4260300,4320300,4380300,4440300
eval_rew,0.22999999999999998,0.19,0.24000000000000005,0.38999999999999996,0.16999999999999998,0.07,0.24000000000000005,0.11000000000000001,0.21999999999999997,0.21000000000000002,0.24,0.16,0.12999999999999998,0.16999999999999998,0.36,0.16,0.31,0.19,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.2,0.3,0.3,0.0,0.2,0.0,0.0,0.3,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.4,0.0,0.0
train_rew,0.4,0.16449999999999998,0.21299999999999997,0.17300000000000001,0.156,0.16149999999999998,0.212,0.1515,0.1775,0.16449999999999998,0.172,0.18799999999999997,0.161,0.17350000000000002,0.17850000000000002,0.21150000000000002,0.163,0.20549999999999996,0.21850000000000003,0.259,0.35100000000000003,0.36,0.46349999999999997,0.48400000000000004,0.505,0.48400000000000004,0.502,0.48550000000000004,0.47450000000000003,0.4775000000000001,0.47300000000000003,0.4275,0.42300000000000004,0.4685000000000001,0.43050000000000005,0.44550000000000006,0.44050000000000006,0.43000000000000005,0.4475,0.425,0.42,0.426,0.42900000000000005,0.4375,0.40900000000000003,0.43700000000000006,0.44600000000000006,0.41800000000000004,0.4055,0.4165,0.40950000000000003,0.4185000000000001,0.4135000000000001,0.413,0.42300000000000004,0.406,0.4105,0.41850000000000004,0.401,0.41600000000000004,0.4205,0.4175,0.40549999999999997,0.4055,0.4110000000000001,0.4125000000000001,0.4,0.4025,0.40950000000000003,0.435,0.406,0.402,0.38900000000000007,0.40299999999999997,0.7
